"","game_date","time","home","guest","home_score","guest_score","date","hour","1","X","2","advantage","winner"
"151","2016-12-13","05:30","Sacramento Kings","Los Angeles Lakers",116,92,"12/12/2016","18:10",1.8,9,1.8,-7,"1.0"
"152","2016-12-13","05:30","Sacramento Kings","Los Angeles Lakers",116,92,"12/12/2016","19:25",1.8,9,1.8,-8,"1.0"
"153","2016-12-13","05:30","Sacramento Kings","Los Angeles Lakers",116,92,"12/12/2016","23:30",1.8,9,1.8,-7,"1.0"
"154","2016-12-14","02:00","Cleveland Cavaliers","Memphis Grizzlies",103,86,"13/12/2016","18:00",1.8,9,1.8,-16,"1.0"
"155","2016-12-14","02:00","Cleveland Cavaliers","Memphis Grizzlies",103,86,"13/12/2016","23:50",1.9,9,1.7,-16,"1.0"
"156","2016-12-14","02:00","Cleveland Cavaliers","Memphis Grizzlies",103,86,"13/12/2016","19:20",1.9,9,1.7,-15,"1.0"
"157","2016-12-14","04:00","Phoenix Suns","New York Knicks",101,101,"13/12/2016","09:45",1.8,9,1.8,3,"1.0"
"158","2016-12-14","04:00","Phoenix Suns","New York Knicks",101,101,"13/12/2016","23:40",1.7,9,1.9,3,"1.0"
"159","2016-12-14","04:00","Phoenix Suns","New York Knicks",101,101,"14/12/2016","00:00",1.65,9,1.9,3,"1.0"
"160","2016-12-14","04:00","Phoenix Suns","New York Knicks",101,101,"13/12/2016","18:55",1.65,9,1.9,2,"1.0"
"161","2016-12-14","02:30","Atlanta Hawks","Orlando Magic",120,131,"13/12/2016","18:00",1.8,9,1.8,-8,"2"
"162","2016-12-14","03:00","Chicago Bulls","Minnesota Timberwolves",94,99,"13/12/2016","09:45",1.8,9,1.8,-7,"2"
"163","2016-12-14","03:00","Chicago Bulls","Minnesota Timberwolves",94,99,"13/12/2016","22:05",1.8,9,1.8,-6,"2"
"164","2016-12-14","05:30","Portland Trail Blazers","Oklahoma City Thunder",114,95,"13/12/2016","18:20",1.8,9,1.8,-1,"1.0"
"165","2016-12-14","05:30","Portland Trail Blazers","Oklahoma City Thunder",114,95,"13/12/2016","23:40",1.7,9,1.9,-1,"1.0"
"166","2016-12-14","05:30","Portland Trail Blazers","Oklahoma City Thunder",114,95,"13/12/2016","23:55",1.8,9,1.8,-4,"1.0"
"167","2016-12-14","05:30","Portland Trail Blazers","Oklahoma City Thunder",114,95,"13/12/2016","21:20",1.8,9,1.8,-2,"1.0"
"168","2016-12-14","05:30","Portland Trail Blazers","Oklahoma City Thunder",114,95,"13/12/2016","22:00",1.8,9,1.8,-3,"1.0"
"169","2016-12-15","02:00","Washington Wizards","Charlotte Hornets",109,106,"14/12/2016","07:30",1.8,9,1.8,-1,"1.0"
"170","2016-12-15","02:00","Washington Wizards","Charlotte Hornets",109,106,"14/12/2016","20:55",1.8,9,1.8,-1,"1.0"
"171","2016-12-15","02:00","Philadelphia 76ers","Toronto Raptors",114,123,"14/12/2016","07:30",1.8,9,1.8,9,"X"
"172","2016-12-15","02:00","Philadelphia 76ers","Toronto Raptors",114,123,"14/12/2016","22:35",1.8,9,1.8,8,"2"
